person_id,classification,reason,main_activity_types,home_coordinates_epsg31468
1504861,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1504892,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1504998,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1505031,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1505085,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1505113,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505169,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505289,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505318,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505380,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505439,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1505464,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505535,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505551,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505671,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1505813,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506053,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506112,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506114,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506248,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506275,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1506334,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506362,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506396,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506397,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506403,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506453,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1506476,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1506545,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1506575,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506706,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1506808,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506852,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1506913,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507039,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507054,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1507083,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507136,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507225,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507249,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507284,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507285,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1507297,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507319,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507427,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507499,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507625,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507897,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1507995,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508002,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508007,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508011,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508013,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508033,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508045,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1508159,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1508195,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508212,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1508235,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508277,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508279,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508300,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508593,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1508694,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508747,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508756,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
1508775,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1508919,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1509065,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1509192,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1509204,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,other,
1509288,NO_HOME_ACTIVITY,No exact home main activity in the selected plan,work;other,
