person_id,runtime_cohort,physical_leg_mode,routing_choice_mode,previous_root_cause,planned_departure,realized_departure,waiting_start,waiting_duration_to_48h,waiting_stop,destination_stop,previously_boarded,previously_alighted,last_vehicle,last_line,last_route,scheduled_services_at_stop,scheduled_later_services,later_compatible_services,last_service,last_compatible_service,wait_after_service_end,wait_after_compatible_service_end,actual_later_vehicle_passes,actual_compatible_passes,first_actual_compatible_pass,classification,confirmed_pipeline_error
"1004849",regional_background,pt,pt,PT_NEVER_BOARDED,48093.000,88486.000,88486.000,84314.000,"6916.8","6880.1",false,false,"","","",78,0,0,79500.000,78180.000,true,true,0,0,,NO_LATER_SERVICE,false
"100498",munich_resident,pt,pt,PT_NEVER_BOARDED,4008.000,61608.000,61608.000,111192.000,"9673.2","107967.2",false,false,"","","",43,12,12,84060.000,84060.000,false,false,12,12,62520.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1006808",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,44730.000,79202.000,79202.000,93598.000,"102231.2","167868.2",true,true,"tr_896","XXX---162192_3","XXX---162192_3_1",12,0,0,63264.000,59760.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1010592",regional_background,pt,pt,PT_NEVER_BOARDED,35554.000,111030.000,111030.000,61770.000,"140276","102549.3",false,false,"","","",29,0,0,74100.000,74100.000,true,true,0,0,,NO_LATER_SERVICE,false
"1012711",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,43440.000,51675.000,51675.000,121125.000,"142500.1","102028.7",true,true,"tr_42215","XXX---2272008_0","XXX---2272008_0_6",229,109,11,86640.000,82800.000,false,false,109,11,54303.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1013398",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,37560.000,51730.000,51730.000,121070.000,"12958.1","106128.1",true,true,"tr_21075","XXX---2268550_3","XXX---2268550_3_4",22,9,0,70800.000,42600.000,false,true,9,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1014852",regional_background,pt,pt,PT_NEVER_BOARDED,2316.000,96950.000,96950.000,75850.000,"104292.2","102028.2",false,false,"","","",26,0,0,81780.000,65760.000,true,true,0,0,,NO_LATER_SERVICE,false
"1019154",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,34200.000,86220.000,86220.000,86580.000,"102065","61924",true,true,"tr_392","XXX---161788_2","XXX---161788_2_164",87,0,0,83040.000,82800.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1020689",regional_background,pt,pt,PT_NEVER_BOARDED,47101.000,64678.000,64678.000,108122.000,"21925.1","3666.3",false,false,"","","",14,2,0,84540.000,48720.000,false,true,2,0,,NO_COMPATIBLE_CONNECTION,false
"1028356",regional_background,pt,pt,PT_NEVER_BOARDED,41555.000,47056.000,47056.000,125744.000,"4088","167837",false,false,"","","",94,48,0,74100.000,41760.000,false,true,48,0,,NO_COMPATIBLE_CONNECTION,false
"1039354",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,27060.000,28187.000,28187.000,144613.000,"101674.11","106130.5",true,true,"tr_183","XXX---161788_2","XXX---161788_2_47",15,12,5,80100.000,73140.000,false,false,12,5,38512.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"103983",munich_resident,pt,pt,PT_BOARDED_NOT_ARRIVED,48240.000,88402.000,88402.000,84398.000,"106091","106653",true,true,"tr_40386","XXX---2271998_1","XXX---2271998_1_5",168,0,0,81300.000,81300.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
