person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"1004849",regional_background,pt,"education","home",48093.000,844.847,88486.000,84314.000,waitingForPt,88486.000,"6916.8",<none>,,"",true,false,false,false,"6916.8","6880.1","","","",true,PT_NEVER_BOARDED
"100498",munich_resident,pt,"work","home",4008.000,30159.034,61608.000,111192.000,waitingForPt,61608.000,"9673.2",<none>,,"",true,false,false,false,"9673.2","107967.2","","","",true,PT_NEVER_BOARDED
"1006808",regional_background,pt,"education","home",44730.000,1822.340,79202.000,93598.000,waitingForPt,79202.000,"102231.2",<none>,,"",true,true,true,false,"102231.2","167868.2","tr_896","XXX---162192_3","XXX---162192_3_1",true,PT_BOARDED_NOT_ARRIVED
"1010592",regional_background,pt,"work","home",35554.000,1039.722,111030.000,61770.000,waitingForPt,111030.000,"140276",<none>,,"",true,false,false,false,"140276","102549.3","","","",true,PT_NEVER_BOARDED
"1012711",regional_background,pt,"education","home",43440.000,67759.079,51675.000,121125.000,waitingForPt,51675.000,"142500.1",<none>,,"",true,true,true,false,"142500.1","102028.7","tr_42215","XXX---2272008_0","XXX---2272008_0_6",true,PT_BOARDED_NOT_ARRIVED
"1013398",regional_background,pt,"work","home",37560.000,27220.537,51730.000,121070.000,waitingForPt,51730.000,"12958.1",<none>,,"",true,true,true,false,"12958.1","106128.1","tr_21075","XXX---2268550_3","XXX---2268550_3_4",true,PT_BOARDED_NOT_ARRIVED
"1014852",regional_background,pt,"education","home",2316.000,29408.153,96950.000,75850.000,waitingForPt,96950.000,"104292.2",<none>,,"",true,false,false,false,"104292.2","102028.2","","","",true,PT_NEVER_BOARDED
"1019154",regional_background,pt,"work","home",34200.000,9138.436,86220.000,86580.000,waitingForPt,86220.000,"102065",<none>,,"",true,true,true,false,"102065","61924","tr_392","XXX---161788_2","XXX---161788_2_164",true,PT_BOARDED_NOT_ARRIVED
"1020689",regional_background,pt,"education","home",47101.000,7944.485,64678.000,108122.000,waitingForPt,64678.000,"21925.1",<none>,,"",true,false,false,false,"21925.1","3666.3","","","",true,PT_NEVER_BOARDED
"1028356",regional_background,pt,"education","home",41555.000,25735.406,47056.000,125744.000,waitingForPt,47056.000,"4088",<none>,,"",true,false,false,false,"4088","167837","","","",true,PT_NEVER_BOARDED
"1039354",regional_background,pt,"home","work",27060.000,49012.440,28187.000,144613.000,waitingForPt,28187.000,"101674.11",<none>,,"",true,true,true,false,"101674.11","106130.5","tr_183","XXX---161788_2","XXX---161788_2_47",true,PT_BOARDED_NOT_ARRIVED
"103983",munich_resident,pt,"education","home",48240.000,1806.907,88402.000,84398.000,waitingForPt,88402.000,"106091",<none>,,"",true,true,true,false,"106091","106653","tr_40386","XXX---2271998_1","XXX---2271998_1_5",true,PT_BOARDED_NOT_ARRIVED
"1044188",regional_background,pt,"education","home",69420.000,45834.879,107966.000,64834.000,waitingForPt,107966.000,"142500.1",<none>,,"",true,true,true,false,"142500.1","102334.2","tr_1241","XXX---162308_101","XXX---162308_101_0",true,PT_BOARDED_NOT_ARRIVED
"105053",munich_resident,pt,"work","home",2135.000,3925.949,33921.000,138879.000,waitingForPt,33921.000,"108742",<none>,,"",true,false,false,false,"108742","106051","","","",true,PT_NEVER_BOARDED
"1055531",regional_background,walk,"education","home",80890.000,48001.884,122234.000,50566.000,departure,122234.000,"43753",<none>,,"",false,false,false,false,"","","","","",true,PT_NEVER_BOARDED
"1057331",regional_background,pt,"education","home",38400.000,40310.477,49334.000,123466.000,waitingForPt,49334.000,"103537",<none>,,"",true,true,true,false,"103537","168871","tr_38575","XXX---2270886_3","XXX---2270886_3_5",true,PT_BOARDED_NOT_ARRIVED
"1057995",regional_background,pt,"education","home",55740.000,22896.411,59202.000,113598.000,waitingForPt,59202.000,"102023",<none>,,"",true,true,true,false,"102023","168810","tr_2029","XXX---162443_106","XXX---162443_106_24",true,PT_BOARDED_NOT_ARRIVED
"1062052",regional_background,pt,"education","home",25920.000,11228.276,61896.000,110904.000,waitingForPt,61896.000,"104298.1",<none>,,"",true,true,true,false,"104298.1","104838","tr_16825","XXX---2255012_3","XXX---2255012_3_24",true,PT_BOARDED_NOT_ARRIVED
"1065610",regional_background,pt,"work","home",12565.000,32575.200,74518.000,98282.000,waitingForPt,74518.000,"9673.2",<none>,,"",true,false,false,false,"9673.2","106077.8","","","",true,PT_NEVER_BOARDED
"1068544",regional_background,pt,"education","home",29125.000,873.884,30809.000,141991.000,waitingForPt,30809.000,"101742.1",<none>,,"",true,false,false,false,"101742.1","104818.1","","","",true,PT_NEVER_BOARDED
"1073012",regional_background,car,"work","home",77458.000,17344.916,86332.000,86468.000,entered link,133698.000,"16208",entered link,133698.000,"16208",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
