runtime_cohort,root_cause,cluster_type,link_or_stop_id,transit_line,transit_route,person_count
munich_resident,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"419626","","",237
munich_resident,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"16208","","",190
unresolved_background,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"419626","","",110
munich_resident,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"453133","","",109
unresolved_background,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"16208","","",69
regional_background,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"16208","","",58
regional_background,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"419626","","",56
regional_background,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"453133","","",32
regional_background,PT_NEVER_BOARDED,stop_or_route,"<none>","<none>","<none>",17
unresolved_background,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER,link,"453133","","",6
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106911","<none>","<none>",4
munich_resident,PT_NEVER_BOARDED,stop_or_route,"167614","<none>","<none>",4
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106127.1","<none>","<none>",3
munich_resident,PT_NEVER_BOARDED,stop_or_route,"107866","<none>","<none>",3
munich_resident,PT_NEVER_BOARDED,stop_or_route,"108608","<none>","<none>",3
munich_resident,PT_NEVER_BOARDED,stop_or_route,"108858.1","<none>","<none>",3
regional_background,PT_NEVER_BOARDED,stop_or_route,"104292.2","<none>","<none>",3
regional_background,PT_BOARDED_NOT_ARRIVED,stop_or_route,"101826","XXX---161788_2","XXX---161788_2_21",3
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106145","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106154","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106359","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106399","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106435","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106467","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106601","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106691","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"106705","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"107362","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"107813","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"107821.2","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"107945","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"108233","<none>","<none>",2
munich_resident,PT_NEVER_BOARDED,stop_or_route,"108342","<none>","<none>",2
