iteration;avg_executed;avg_worst;avg_average;avg_best
0;63.28722434746835;63.28722434746835;63.28722434746835;63.28722434746835
1;63.520610503003326;63.29500339778825;63.40780695039579;63.520610503003326
2;63.65524521277482;63.30141835540966;63.49488868401183;63.66884178835766
3;63.854244384222646;63.32418039610866;63.6089533275508;63.85664346389345
4;63.977121770249205;63.34436361499457;63.68830265808024;63.98026131637753
5;64.05793147205746;63.34910528601021;63.743479452269504;64.07286793892028
6;64.15754429148073;63.36244284034719;63.795159399990034;64.16065845324646
7;64.22455205733786;63.37549753338251;63.841663941740414;64.22831555200203
8;64.31927249973779;63.3812321823842;63.89986713008741;64.32231057513084
9;64.42179123795007;63.39623147646202;63.96902086533778;64.4309795859991
10;64.44943685967088;63.40048019673833;64.00640911422674;64.45511911260378
