iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;16:48:09;16:48:09;16:48:09;;;16:48:09;16:48:09;16:48:10;16:48:10;16:48:10;16:48:10;16:48:10;16:48:11;16:48:11;16:48:11;16:48:11;16:48:11;16:48:11;16:48:12;16:48:12;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
1;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:12;16:48:14;16:48:14;16:48:14;16:48:14;16:48:14;16:48:14;16:48:14;16:48:14;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
2;16:48:14;16:48:14;16:48:14;16:48:14;16:48:14;16:48:14;;;16:48:14;16:48:14;16:48:14;16:48:14;16:48:16;16:48:16;16:48:16;16:48:16;16:48:16;16:48:16;16:48:16;16:48:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
3;16:48:16;16:48:16;16:48:16;16:48:16;16:48:16;16:48:16;;;16:48:16;16:48:16;16:48:16;16:48:16;16:48:18;16:48:18;16:48:18;16:48:18;16:48:18;16:48:18;16:48:19;16:48:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
4;16:48:19;16:48:19;16:48:19;16:48:19;16:48:19;16:48:19;;;16:48:19;16:48:19;16:48:19;16:48:19;16:48:21;16:48:21;16:48:21;16:48:21;16:48:21;16:48:21;16:48:21;16:48:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
5;16:48:21;16:48:21;16:48:21;16:48:21;16:48:21;16:48:21;;;16:48:21;16:48:21;16:48:21;16:48:21;16:48:23;16:48:23;16:48:23;16:48:23;16:48:23;16:48:23;16:48:23;16:48:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
6;16:48:23;16:48:23;16:48:23;16:48:23;16:48:23;16:48:23;;;16:48:23;16:48:23;16:48:23;16:48:23;16:48:25;16:48:25;16:48:25;16:48:25;16:48:25;16:48:25;16:48:26;16:48:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
7;16:48:26;16:48:26;16:48:26;16:48:26;16:48:26;16:48:26;;;16:48:26;16:48:26;16:48:26;16:48:26;16:48:28;16:48:28;16:48:28;16:48:28;16:48:28;16:48:28;16:48:28;16:48:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
8;16:48:28;16:48:28;16:48:28;16:48:28;16:48:28;16:48:28;;;16:48:28;16:48:28;16:48:28;16:48:28;16:48:30;16:48:30;16:48:30;16:48:30;16:48:30;16:48:30;16:48:30;16:48:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
9;16:48:30;16:48:30;16:48:30;16:48:30;16:48:30;16:48:30;;;16:48:30;16:48:30;16:48:30;16:48:30;16:48:32;16:48:32;16:48:32;16:48:32;16:48:32;16:48:32;16:48:32;16:48:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
10;16:48:33;16:48:33;16:48:33;16:48:33;16:48:33;16:48:33;;;16:48:33;16:48:33;16:48:33;16:48:33;16:48:35;16:48:35;16:48:35;16:48:35;16:48:35;16:48:35;16:48:35;16:48:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
